CustomerID,Tenure,WarehouseToHome,Churn,PreferredOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount,LoginFrequency
CUST-00001,39.0,33,1,Laptop & Accessory,3,Divorced,1,21.0,104.61,Daily
CUST-00002,,27,0,Grocery,3,Divorced,0,36.0,100.0,Daily
CUST-00003,3.0,26,1,Grocery,5,Divorced,1,44.0,378.49,Weekly
CUST-00004,2.0,25,1,Mobile Phone,1,Married,0,22.0,52.47,Weekly
CUST-00005,25.0,31,0,Grocery,3,Single,0,28.0,390.81,Daily
CUST-00006,,48,1,Mobile Phone,4,Divorced,0,3.0,350.98,Daily
CUST-00007,7.0,25,1,Grocery,1,Married,0,4.0,379.77,Monthly
CUST-00008,14.0,13,0,Mobile Phone,2,Divorced,0,20.0,134.36,Weekly
CUST-00009,60.0,11,0,Mobile Phone,4,Single,0,35.0,368.26,Daily
CUST-00010,36.0,44,0,Grocery,4,Single,0,6.0,122.78,Rarely
CUST-00011,4.0,33,1,Others,2,Divorced,1,34.0,188.3,Rarely
CUST-00012,36.0,18,0,Laptop & Accessory,4,Single,0,40.0,345.59,Weekly
CUST-00013,45.0,22,0,Fashion,5,Divorced,0,25.0,148.33,Daily
CUST-00014,60.0,49,1,Grocery,1,Married,0,1.0,55.47,Weekly
CUST-00015,9.0,28,1,Fashion,1,Single,0,24.0,54.93,Weekly
CUST-00016,51.0,21,1,Grocery,3,Married,1,5.0,374.21,Daily
CUST-00017,58.0,45,0,Laptop & Accessory,4,Divorced,1,8.0,207.31,Daily
CUST-00018,33.0,27,0,Mobile Phone,5,Divorced,1,40.0,146.15,Monthly
CUST-00019,35.0,5,0,Fashion,3,Divorced,0,14.0,347.12,Rarely
CUST-00020,5.0,30,1,Laptop & Accessory,3,Married,0,,88.81,Weekly
CUST-00021,60.0,17,0,Laptop & Accessory,3,Married,0,39.0,216.38,Weekly
CUST-00022,32.0,8,0,Grocery,5,Single,0,15.0,314.44,Rarely
CUST-00023,36.0,17,0,Laptop & Accessory,3,Divorced,0,28.0,375.39,Daily
CUST-00024,45.0,10,1,Mobile Phone,4,Married,1,44.0,195.78,Monthly
CUST-00025,11.0,32,1,Others,1,Divorced,0,33.0,145.25,Daily
CUST-00026,27.0,17,0,Laptop & Accessory,1,Married,0,6.0,228.76,Weekly
CUST-00027,9.0,41,0,Others,1,Divorced,0,44.0,135.44,Rarely
CUST-00028,59.0,36,1,Laptop & Accessory,1,Single,0,12.0,138.12,Rarely
CUST-00029,2.0,7,1,Laptop & Accessory,1,Divorced,0,17.0,143.37,Weekly
CUST-00030,2.0,6,0,Others,4,Divorced,0,37.0,170.77,Monthly
CUST-00031,1.0,23,1,Grocery,2,Married,0,26.0,,Monthly
CUST-00032,32.0,8,0,Mobile Phone,3,Divorced,0,17.0,304.88,Monthly
CUST-00033,24.0,9,1,Fashion,4,Divorced,1,22.0,237.52,Daily
CUST-00034,48.0,20,1,Others,1,Single,0,6.0,293.53,Weekly
CUST-00035,3.0,-5,0,Fashion,4,Married,0,19.0,298.9,Daily
CUST-00036,19.0,24,1,Grocery,4,Divorced,1,40.0,185.36,Rarely
CUST-00037,18.0,44,1,Others,1,Married,0,,123.18,Weekly
CUST-00038,31.0,34,0,Mobile Phone,2,Married,0,16.0,336.03,Weekly
CUST-00039,57.0,6,0,Mobile Phone,1,Single,0,,245.4,Weekly
CUST-00040,32.0,13,1,Mobile Phone,1,Divorced,0,16.0,363.99,Monthly
CUST-00041,24.0,37,0,Fashion,4,Married,0,8.0,324.87,Monthly
CUST-00042,40.0,24,0,Fashion,3,Single,0,25.0,282.23,Monthly
CUST-00043,,22,0,Mobile Phone,2,Married,0,35.0,278.19,Monthly
CUST-00044,41.0,40,0,Grocery,1,Single,0,14.0,,Weekly
CUST-00045,20.0,12,1,Mobile Phone,3,Divorced,0,33.0,239.89,Monthly
CUST-00046,59.0,26,0,Others,5,Married,0,8.0,270.9,Monthly
CUST-00047,34.0,25,0,Mobile Phone,1,Married,0,33.0,118.34,Monthly
CUST-00048,48.0,23,0,Grocery,4,Married,0,17.0,398.09,Rarely
CUST-00049,30.0,33,1,Fashion,5,Single,1,41.0,383.58,Monthly
